,wavelengths,intensities
0,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3704. 2544. 2746. ... 2705. 2702. 2699.]
1,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3705. 2539. 2740. ... 2706. 2708. 2700.]
2,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3705. 2540. 2745. ... 2703. 2703. 2700.]
3,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3709. 2545. 2741. ... 2711. 2705. 2700.]
4,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3708. 2538. 2746. ... 2704. 2702. 2700.]
5,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3713. 2539. 2747. ... 2705. 2709. 2705.]
6,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3708. 2542. 2742. ... 2702. 2707. 2699.]
7,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3706. 2544. 2743. ... 2698. 2704. 2707.]
8,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3702. 2543. 2744. ... 2706. 2702. 2706.]
9,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3699. 2544. 2749. ... 2712. 2708. 2701.]
