# Data Timestamp: 2022_10_31_10h26m48s
# Input Parameters: Voltage=5.0V, Frequency=0.1kHz, Carrier gas flow rate=1.0.,wavelengths,intensities
0,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3725. 2550. 2745. ... 2713. 2701. 2707.]
1,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3716. 2544. 2751. ... 2709. 2709. 2718.]
2,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3725. 2551. 2749. ... 2711. 2714. 2704.]
3,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3715. 2542. 2748. ... 2712. 2706. 2711.]
4,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3720. 2544. 2749. ... 2705. 2711. 2709.]
5,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3716. 2546. 2746. ... 2708. 2707. 2711.]
6,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3710. 2546. 2754. ... 2710. 2710. 2704.]
7,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3722. 2544. 2749. ... 2710. 2708. 2706.]
8,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3721. 2548. 2750. ... 2712. 2713. 2708.]
9,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3718. 2546. 2749. ... 2709. 2708. 2710.]
10,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3722. 2543. 2746. ... 2717. 2710. 2709.]
11,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3717. 2545. 2748. ... 2712. 2706. 2702.]
12,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3722. 2548. 2744. ... 2709. 2712. 2709.]
13,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3715. 2543. 2750. ... 2712. 2713. 2709.]
14,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3716. 2544. 2747. ... 2708. 2709. 2699.]
15,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3714. 2538. 2749. ... 2707. 2708. 2709.]
16,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3720. 2544. 2752. ... 2715. 2707. 2705.]
17,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3718. 2550. 2749. ... 2708. 2709. 2706.]
18,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3720. 2546. 2747. ... 2711. 2711. 2702.]
19,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3717. 2553. 2745. ... 2708. 2707. 2707.]
20,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3716. 2548. 2742. ... 2710. 2708. 2707.]
21,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3723. 2551. 2754. ... 2700. 2707. 2710.]
22,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3713. 2543. 2746. ... 2711. 2712. 2705.]
23,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3719. 2544. 2749. ... 2708. 2714. 2703.]
24,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3720. 2545. 2744. ... 2708. 2706. 2702.]
25,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3721. 2541. 2752. ... 2712. 2702. 2710.]
26,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3724. 2548. 2748. ... 2712. 2713. 2706.]
27,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3719. 2545. 2755. ... 2715. 2706. 2712.]
28,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3723. 2542. 2750. ... 2709. 2707. 2708.]
29,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3720. 2545. 2751. ... 2708. 2715. 2708.]
