# Data Timestamp: 2022_10_31_10h39m18s
# Input Parameters: Voltage=5.0V, Frequency=0.1kHz, Carrier gas flow rate=1.0.
# chicken skin at 5mm distance, 2nd location,wavelengths,intensities
0,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3726. 2545. 2752. ... 2711. 2708. 2711.]
1,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3724. 2543. 2748. ... 2717. 2704. 2708.]
2,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3726. 2547. 2751. ... 2717. 2715. 2700.]
3,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3727. 2553. 2749. ... 2713. 2714. 2709.]
4,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3727. 2547. 2754. ... 2715. 2710. 2707.]
5,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3722. 2546. 2753. ... 2715. 2706. 2709.]
6,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3731. 2548. 2752. ... 2716. 2714. 2707.]
7,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3724. 2548. 2755. ... 2711. 2718. 2711.]
8,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2550. 2757. ... 2708. 2709. 2716.]
9,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3721. 2545. 2752. ... 2707. 2707. 2713.]
10,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3729. 2542. 2751. ... 2715. 2712. 2707.]
11,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3720. 2556. 2751. ... 2712. 2708. 2713.]
12,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3722. 2548. 2750. ... 2707. 2717. 2715.]
13,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3727. 2544. 2752. ... 2714. 2709. 2709.]
14,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3723. 2543. 2753. ... 2713. 2713. 2707.]
15,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3728. 2553. 2751. ... 2717. 2710. 2709.]
16,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3727. 2548. 2753. ... 2713. 2711. 2710.]
17,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3725. 2545. 2751. ... 2711. 2713. 2708.]
18,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3725. 2545. 2756. ... 2708. 2713. 2715.]
19,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3726. 2543. 2751. ... 2712. 2710. 2712.]
20,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2547. 2751. ... 2715. 2712. 2717.]
21,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3734. 2550. 2752. ... 2713. 2709. 2711.]
22,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3728. 2546. 2749. ... 2705. 2712. 2711.]
23,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3722. 2545. 2748. ... 2713. 2711. 2706.]
24,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3729. 2550. 2753. ... 2711. 2707. 2707.]
25,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3724. 2549. 2751. ... 2717. 2714. 2710.]
26,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2543. 2748. ... 2711. 2711. 2712.]
27,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3729. 2550. 2746. ... 2712. 2709. 2709.]
28,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3726. 2550. 2752. ... 2715. 2713. 2714.]
29,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3727. 2542. 2753. ... 2707. 2711. 2713.]
