# Data Timestamp: 2022_10_31_10h44m18s
# Input Parameters: Voltage=5.0V, Frequency=0.1kHz, Carrier gas flow rate=1.0.
# chicken skin at 5mm distance, 3rd location, skin over bone
,wavelengths,intensities
0,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3735. 2553. 2750. ... 2710. 2718. 2712.]
1,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2548. 2754. ... 2715. 2716. 2711.]
2,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3728. 2548. 2748. ... 2713. 2711. 2709.]
3,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3725. 2552. 2753. ... 2718. 2709. 2714.]
4,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2545. 2753. ... 2717. 2710. 2709.]
5,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3722. 2546. 2754. ... 2716. 2709. 2699.]
6,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2546. 2754. ... 2718. 2709. 2709.]
7,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3729. 2552. 2756. ... 2715. 2708. 2709.]
8,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3731. 2547. 2745. ... 2718. 2715. 2711.]
9,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3728. 2549. 2748. ... 2710. 2706. 2712.]
10,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3731. 2545. 2757. ... 2723. 2711. 2713.]
11,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3728. 2547. 2749. ... 2714. 2709. 2713.]
12,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3734. 2543. 2751. ... 2714. 2712. 2712.]
13,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2544. 2754. ... 2715. 2711. 2720.]
14,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3728. 2546. 2751. ... 2716. 2706. 2713.]
15,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3728. 2548. 2752. ... 2711. 2717. 2713.]
16,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3727. 2556. 2751. ... 2713. 2711. 2707.]
17,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3729. 2546. 2753. ... 2714. 2714. 2705.]
18,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2547. 2759. ... 2713. 2709. 2710.]
19,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3734. 2546. 2749. ... 2714. 2715. 2715.]
20,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3726. 2547. 2750. ... 2711. 2718. 2710.]
21,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2548. 2749. ... 2713. 2713. 2708.]
22,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2546. 2746. ... 2708. 2714. 2713.]
23,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3725. 2541. 2751. ... 2709. 2711. 2709.]
24,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2554. 2752. ... 2712. 2716. 2709.]
25,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3728. 2547. 2751. ... 2713. 2719. 2711.]
26,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3736. 2544. 2752. ... 2716. 2710. 2718.]
27,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3725. 2544. 2754. ... 2711. 2712. 2704.]
28,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3728. 2544. 2753. ... 2712. 2708. 2710.]
29,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3728. 2548. 2758. ... 2714. 2711. 2707.]
