# Data Timestamp: 2022_10_31_10h47m18s
# Input Parameters: Voltage=5.0V, Frequency=0.1kHz, Carrier gas flow rate=1.0.
# chicken skin at 5mm distance, 4th location, flipped over
,wavelengths,intensities
0,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2546. 2757. ... 2721. 2716. 2710.]
1,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2543. 2750. ... 2715. 2716. 2703.]
2,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3734. 2547. 2748. ... 2718. 2715. 2714.]
3,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2543. 2755. ... 2715. 2711. 2712.]
4,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2549. 2754. ... 2715. 2714. 2712.]
5,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3729. 2549. 2752. ... 2712. 2714. 2712.]
6,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3723. 2548. 2759. ... 2718. 2709. 2712.]
7,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3738. 2546. 2747. ... 2718. 2713. 2709.]
8,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3734. 2554. 2755. ... 2713. 2715. 2709.]
9,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2543. 2745. ... 2712. 2707. 2713.]
10,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3727. 2547. 2748. ... 2710. 2709. 2713.]
11,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3736. 2542. 2754. ... 2714. 2712. 2710.]
12,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3728. 2546. 2756. ... 2714. 2710. 2715.]
13,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2546. 2752. ... 2713. 2717. 2709.]
14,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3731. 2542. 2753. ... 2712. 2715. 2707.]
15,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2554. 2757. ... 2712. 2720. 2710.]
16,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2545. 2750. ... 2717. 2711. 2713.]
17,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2543. 2755. ... 2714. 2713. 2713.]
18,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3738. 2543. 2754. ... 2716. 2712. 2713.]
19,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2546. 2753. ... 2716. 2710. 2706.]
20,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2551. 2756. ... 2708. 2710. 2712.]
21,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3727. 2542. 2749. ... 2711. 2712. 2720.]
22,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2544. 2746. ... 2713. 2712. 2713.]
23,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2548. 2753. ... 2714. 2712. 2712.]
24,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2544. 2756. ... 2712. 2709. 2709.]
25,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2545. 2754. ... 2713. 2709. 2705.]
26,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2552. 2747. ... 2710. 2717. 2714.]
27,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2552. 2749. ... 2711. 2719. 2714.]
28,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3731. 2549. 2757. ... 2710. 2709. 2713.]
29,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2546. 2753. ... 2713. 2717. 2710.]
