# Data Timestamp: 2022_10_31_10h50m16s
# Input Parameters: Voltage=5.0V, Frequency=0.1kHz, Carrier gas flow rate=1.0.
# chicken muscle at 5mm distance, 1st location, flipped over
,wavelengths,intensities
0,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3726. 2548. 2759. ... 2713. 2710. 2717.]
1,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3729. 2553. 2755. ... 2715. 2713. 2714.]
2,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2548. 2757. ... 2711. 2711. 2712.]
3,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3738. 2551. 2753. ... 2715. 2712. 2720.]
4,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3734. 2548. 2749. ... 2715. 2714. 2712.]
5,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2549. 2757. ... 2715. 2713. 2712.]
6,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2542. 2757. ... 2717. 2708. 2715.]
7,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3734. 2549. 2761. ... 2713. 2711. 2708.]
8,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3739. 2545. 2752. ... 2713. 2714. 2711.]
9,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3735. 2546. 2752. ... 2712. 2708. 2710.]
10,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3729. 2551. 2758. ... 2714. 2716. 2710.]
11,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3739. 2552. 2751. ... 2717. 2714. 2714.]
12,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2552. 2752. ... 2712. 2713. 2710.]
13,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3736. 2548. 2749. ... 2709. 2712. 2715.]
14,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3727. 2548. 2755. ... 2712. 2707. 2714.]
15,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3741. 2544. 2752. ... 2713. 2713. 2716.]
16,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3738. 2550. 2752. ... 2713. 2715. 2713.]
17,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3737. 2539. 2757. ... 2714. 2709. 2712.]
18,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2545. 2752. ... 2712. 2713. 2710.]
19,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3738. 2547. 2752. ... 2709. 2712. 2709.]
20,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3734. 2545. 2750. ... 2716. 2712. 2712.]
21,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2551. 2755. ... 2716. 2716. 2709.]
22,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3737. 2547. 2751. ... 2713. 2713. 2709.]
23,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3731. 2550. 2751. ... 2711. 2717. 2717.]
24,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3736. 2546. 2753. ... 2713. 2714. 2709.]
25,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2545. 2754. ... 2718. 2710. 2707.]
26,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3738. 2551. 2749. ... 2715. 2716. 2715.]
27,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2552. 2754. ... 2713. 2715. 2713.]
28,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3729. 2548. 2762. ... 2718. 2708. 2714.]
29,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2539. 2753. ... 2716. 2713. 2712.]
