# Data Timestamp: 2022_10_31_10h55m45s
# Input Parameters: Voltage=5.0V, Frequency=0.2kHz, Carrier gas flow rate=1.0.
# chicken muscle at 5mm distance, 2nd location, original orientation
,wavelengths,intensities
0,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3734. 2542. 2754. ... 2710. 2710. 2716.]
1,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2551. 2756. ... 2718. 2717. 2714.]
2,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3735. 2549. 2755. ... 2719. 2717. 2713.]
3,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3737. 2545. 2750. ... 2714. 2712. 2709.]
4,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3741. 2542. 2754. ... 2713. 2710. 2722.]
5,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2548. 2758. ... 2714. 2714. 2713.]
6,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3737. 2550. 2753. ... 2714. 2711. 2716.]
7,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3736. 2547. 2755. ... 2714. 2712. 2718.]
8,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3737. 2543. 2755. ... 2715. 2714. 2714.]
9,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2548. 2761. ... 2713. 2715. 2716.]
10,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3741. 2552. 2758. ... 2715. 2715. 2710.]
11,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2548. 2756. ... 2711. 2721. 2711.]
12,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3735. 2551. 2753. ... 2719. 2713. 2717.]
13,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2544. 2755. ... 2712. 2711. 2713.]
14,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2553. 2753. ... 2714. 2715. 2707.]
15,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3742. 2549. 2754. ... 2711. 2712. 2718.]
16,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2550. 2756. ... 2716. 2716. 2712.]
17,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3734. 2549. 2749. ... 2710. 2715. 2713.]
18,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3730. 2552. 2753. ... 2711. 2711. 2709.]
19,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3731. 2550. 2760. ... 2712. 2713. 2710.]
20,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3727. 2549. 2756. ... 2714. 2710. 2716.]
21,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2548. 2755. ... 2719. 2716. 2712.]
22,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3737. 2545. 2754. ... 2711. 2715. 2715.]
23,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2550. 2753. ... 2718. 2714. 2709.]
24,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3735. 2550. 2754. ... 2712. 2712. 2713.]
25,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2551. 2747. ... 2713. 2714. 2719.]
26,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3731. 2549. 2751. ... 2714. 2711. 2720.]
27,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3735. 2551. 2744. ... 2708. 2718. 2713.]
28,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2545. 2756. ... 2714. 2717. 2709.]
29,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2543. 2752. ... 2709. 2715. 2719.]
