# Data Timestamp: 2022_10_31_10h58m55s
# Input Parameters: Voltage=5.0V, Frequency=0.2kHz, Carrier gas flow rate=1.0.
# chicken muscle at 5mm distance, 3rd location, original orientation
,wavelengths,intensities
0,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3746. 2542. 2756. ... 2713. 2710. 2712.]
1,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3739. 2548. 2757. ... 2713. 2711. 2714.]
2,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2545. 2757. ... 2717. 2715. 2715.]
3,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3734. 2544. 2760. ... 2715. 2713. 2711.]
4,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3740. 2550. 2750. ... 2710. 2714. 2721.]
5,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3736. 2543. 2757. ... 2721. 2713. 2710.]
6,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3742. 2551. 2757. ... 2719. 2715. 2713.]
7,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2548. 2760. ... 2711. 2709. 2713.]
8,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3744. 2556. 2754. ... 2715. 2718. 2719.]
9,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3737. 2549. 2759. ... 2710. 2712. 2717.]
10,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3731. 2548. 2758. ... 2715. 2716. 2717.]
11,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3737. 2551. 2754. ... 2721. 2713. 2713.]
12,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3737. 2549. 2753. ... 2717. 2708. 2714.]
13,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3740. 2548. 2757. ... 2721. 2716. 2712.]
14,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3738. 2545. 2763. ... 2722. 2718. 2715.]
15,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2555. 2748. ... 2714. 2717. 2719.]
16,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3738. 2548. 2753. ... 2718. 2709. 2716.]
17,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3735. 2554. 2754. ... 2719. 2712. 2711.]
18,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3741. 2543. 2759. ... 2716. 2712. 2717.]
19,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3732. 2547. 2750. ... 2712. 2726. 2712.]
20,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3736. 2546. 2754. ... 2720. 2715. 2714.]
21,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3736. 2550. 2756. ... 2711. 2713. 2712.]
22,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3737. 2547. 2754. ... 2714. 2710. 2702.]
23,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3731. 2550. 2762. ... 2720. 2716. 2708.]
24,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3733. 2551. 2758. ... 2715. 2716. 2709.]
25,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3737. 2541. 2755. ... 2716. 2716. 2712.]
26,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3735. 2543. 2754. ... 2720. 2713. 2712.]
27,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3736. 2545. 2759. ... 2717. 2715. 2714.]
28,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3739. 2557. 2761. ... 2717. 2712. 2711.]
29,"[ 197.9713      198.45203299  198.93273747 ... 1129.6595595  1130.08103194
 1130.50247549]",[3740. 2550. 2753. ... 2711. 2711. 2717.]
